"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"IBP7",3.7152,3.4962,3.4044,3.3398,3.3023,3.2737,3.2629,3.2595
"FETUA",3.6433,3.3061,3.2113,3.1407,3.1111,3.0842,3.074,3.0722
"TTHY",2.8471,2.9135,2.8327,2.7695,2.7387,2.7155,2.7074,2.7047
"A2GL",2.6759,2.4292,2.3657,2.3172,2.2939,2.2775,2.2699,2.2676
"FBLN2",2.5355,2.3178,2.2532,2.2203,2.1948,2.1758,2.1687,2.1665
"FINC",2.5314,2.3248,2.2842,2.244,2.2344,2.2151,2.2078,2.2055
"NBL1",2.5228,2.635,2.5597,2.5095,2.4815,2.4606,2.4527,2.4502
"PLTP",2.4361,2.2141,2.1849,2.1362,2.1197,2.1023,2.0997,2.0975
"CH3L1",2.4214,2.198,2.2109,2.1651,2.1418,2.1233,2.117,2.115
"C1QC",2.3192,2.1224,2.1018,2.0549,2.0338,2.0203,2.0157,2.0136
"HRG",2.3181,2.1631,2.1004,2.0772,2.0548,2.0371,2.0332,2.0311
"APOL1",2.3084,2.1002,2.039,2.023,1.9997,1.9846,1.9793,1.9793
"FHR1",2.2875,2.1251,2.0725,2.0311,2.0139,1.9974,1.9908,1.9888
"SCG1",2.2751,2.0656,2.0058,1.9861,1.9727,1.9596,1.9531,1.9511
"SODE",2.2691,2.0967,2.0568,2.0199,1.9973,1.9842,1.9777,1.9756
"ANT3",2.227,2.1141,2.0695,2.0502,2.0299,2.0168,2.0103,2.0082
"APOA4",2.2061,2.0051,1.9506,1.9424,1.9304,1.9151,1.912,1.9102
"CO3",2.1287,1.9569,1.9381,1.9339,1.9148,1.9003,1.8946,1.8927
"NPC2",2.1212,2.0584,2.0028,1.9627,1.9413,1.9278,1.9221,1.921
"EFNB3",2.0949,1.919,1.8631,1.8216,1.805,1.7968,1.792,1.7904
"C1S",2.0638,1.8931,1.9037,1.862,1.8456,1.8338,1.8281,1.8262
"KV230",2.0554,1.9406,1.8869,1.8586,1.8398,1.8246,1.8188,1.8169
"ZA2G",2.037,2.0904,2.0439,1.9988,1.9784,1.9637,1.9584,1.9568
"KV127",2.0197,1.9205,1.8649,1.8267,1.8061,1.7905,1.7849,1.7832
"RET4",2.0123,1.8547,1.8641,1.8278,1.8127,1.797,1.7918,1.79
"ENPP2",1.9939,1.8094,1.8241,1.7873,1.7716,1.7577,1.752,1.7505
"LRP1",1.9921,1.8422,1.7952,1.7557,1.7477,1.7562,1.7509,1.7491
"PON1",1.9617,1.8092,1.7737,1.7409,1.7215,1.7067,1.7016,1.7
"1433G",1.9544,1.8981,1.8478,1.8115,1.8163,1.8047,1.8003,1.7993
"A1AG1",1.9178,1.7522,1.7026,1.6781,1.6588,1.6453,1.6404,1.6387
"GELS",1.9097,1.7456,1.7512,1.7249,1.7051,1.6911,1.6878,1.686
"CBLN1",1.9087,1.8343,1.7836,1.7439,1.7251,1.7102,1.7069,1.7055
"AACT",1.8651,1.6964,1.6686,1.6592,1.6563,1.6422,1.6369,1.6352
"APOH",1.8541,1.6901,1.6581,1.626,1.6194,1.6292,1.6278,1.6273
"FGFR1",1.8424,1.6721,1.6744,1.6549,1.6359,1.6218,1.6176,1.6166
"COMP",1.8279,1.6826,1.6358,1.6604,1.6418,1.6372,1.6318,1.6307
"LV151",1.8162,1.7041,1.6778,1.6418,1.6313,1.6537,1.6484,1.6472
"APOA1",1.8116,1.7228,1.6743,1.7163,1.7089,1.6955,1.6912,1.6902
"VGF",1.705,1.5508,1.5153,1.4852,1.4696,1.4569,1.4554,1.4539
"DKK3",1.7,1.6434,1.6439,1.6381,1.6415,1.6358,1.6316,1.6303
"VASN",1.679,1.5236,1.5289,1.4948,1.4793,1.4667,1.4625,1.4613
"NRP2",1.6764,1.8562,1.8028,1.818,1.8025,1.7912,1.7933,1.7915
"PGS2",1.6729,1.5211,1.4769,1.4455,1.4295,1.4233,1.4266,1.4251
"AMBP",1.6575,1.601,1.5629,1.5512,1.5381,1.5255,1.5208,1.5192
"RNAS4",1.6567,1.5036,1.4705,1.4379,1.4257,1.4141,1.4096,1.4103
"GLYLB",1.6161,1.5435,1.5349,1.5485,1.532,1.519,1.5141,1.5125
"KV106",1.6015,1.4537,1.4171,1.3995,1.3876,1.3764,1.3721,1.3713
"COL12",1.5629,1.4443,1.4144,1.3868,1.3709,1.3678,1.3636,1.3623
"IGLC2",1.5622,1.432,1.3924,1.3706,1.3756,1.3639,1.3609,1.3597
"SODC",1.5609,1.4661,1.4798,1.4531,1.4364,1.4288,1.4243,1.4228
"A1BG",1.5576,1.536,1.5218,1.4992,1.4889,1.4865,1.4819,1.4804
"NID2",1.5548,1.4132,1.3736,1.3511,1.3411,1.3296,1.3252,1.3271
