,Mean_Cluster_0,Std_Cluster_0,Mean_Cluster_1,Std_Cluster_1,Cluster with higher protein levels,NMF protein cluster
IBP7,-1.0811212822618956,0.7398838996260158,-1.8434744130257223,0.8289604294688393,0,0
FETUA,-1.2682750425493634,0.7660191695758181,-1.195033679396525,0.6470435381508689,1,1
TTHY,-0.5958515166045553,0.8057817768031197,-1.4359315975694449,0.39683273564504673,0,0
A2GL,-0.8133200651120925,0.5570041796645586,-0.6974891986169847,0.6593818466521169,1,1
FBLN2,-0.9657170952209504,0.5547730612496725,-0.3901931164231091,0.6867474957439601,1,1
FINC,1.1658356972001382,1.1595033132028738,0.6327844320931552,1.0876887211968829,0,0
NBL1,-0.60516582727833,0.6622193099474718,-1.139332794412603,0.9849318414919445,0,0
PLTP,1.0371535601779036,1.184629419789455,0.9007701667281484,1.4624707014306948,0,0
CH3L1,1.334595530050964,1.2991075423173242,0.45004906455680843,1.2000752100768262,0,0
C1QC,2.1203293025222187,1.2499963253663087,-0.4628343310130768,0.9481277480918213,0,0
HRG,-0.8135837110065856,0.7100716215574117,-0.6285755483933689,1.0693936375628685,1,1
APOL1,-0.6625726698976006,0.6637620838298428,-0.6541878662705561,0.6165157744515005,1,1
FHR1,-0.42438089888088665,0.6921782181628504,-1.0398677967925616,0.38834431956230475,0,0
SCG1,-1.1470480861007692,0.4586595909467931,-0.07353019934132882,1.011794628297357,1,1
SODE,-0.6495320529471043,0.8758134431289771,-0.8675152014932992,0.8958080439489416,0,1
ANT3,-0.502229354522507,0.5262963391372364,-0.7925842279401212,0.6207286623620417,0,1
APOA4,-0.4360357678845838,0.5663161032021856,-0.8950356075973723,0.5340248387441411,0,0
CO3,1.0685446624283752,0.6662523799201573,0.002154789167018355,0.6077671193147536,0,0
NPC2,-0.6952095566139651,0.8496591068171363,-0.717445547817518,1.1149857529262,0,1
EFNB3,-0.6154486518362389,0.47459827549292855,-0.49143850008658624,0.6825033990641135,1,1
C1S,0.8797062685384611,0.9644433208362465,0.4772798046899123,1.195276149952719,0,0
KV230,-0.8114777577270582,0.5925332767067456,-0.2238515448666033,0.6450935169651455,1,1
ZA2G,-1.0167601918299234,0.493367086078334,-0.10741416966057128,1.2042998472506812,1,1
KV127,-0.711446244086369,0.3960798217252206,-0.2637335792863066,0.6360532170982965,1,1
RET4,-0.37542537941589416,0.624864908890913,-0.8800584636598179,0.5932728213515006,0,0
ENPP2,1.4395649508898871,1.6005086201294454,0.0381058094900037,1.1181233173796052,0,0
LRP1,-0.5489961111670743,0.6429919638874726,-0.590666989328168,0.7165661009116017,0,1
PON1,-0.557677387635655,0.7120724108318102,-0.6305815003977856,0.8686904518609521,0,1
1433G,0.6458552806941132,1.2462076821509414,2.664876497986385,3.977879994289189,1,1
A1AG1,-0.6906322842183097,0.38799529897741675,-0.39285371440396477,1.1684792243653161,1,1
GELS,0.9768163960054286,0.9695594081153842,0.08876591895429589,0.7458046186508963,0,0
CBLN1,-0.4447906791971227,0.32951179795808827,-0.4948620485649243,0.3076258621868184,0,0
AACT,0.8167082859372851,0.5466727907737485,0.05966797827564374,0.601446872839542,0,0
APOH,-0.10694201107218852,1.253845499154214,-1.7232724473620569,0.49024241049527845,0,0
FGFR1,-0.5894406810836891,0.9041209248943136,-0.6129754968284691,1.0164589505197212,0,1
COMP,-0.5249597273332167,0.5458683763346172,-0.4074474730813298,0.4941966923832193,1,1
LV151,-0.6075407642592475,0.35258183340676613,-0.2449607726897969,0.5943385231095055,1,1
APOA1,-0.20224140690208697,0.43959644811589005,-0.9358641108966056,0.4200129410076675,0,0
VGF,-0.5258846540830665,0.990346712910817,-0.692308903724293,1.2068940088947033,0,1
DKK3,-0.6918219939297862,0.658803907201165,-0.20900857190988595,0.9128064309277226,1,1
VASN,0.9139450905789436,1.1652004317461846,0.45994850937962845,2.038442812477103,0,0
NRP2,-0.28206288402489105,0.6466731787770993,-0.6987965811788739,0.08592657375100449,0,0
PGS2,-0.45815987309661454,0.24897696302251407,-0.3449605494514719,0.582064750170675,1,1
AMBP,-0.4280361247837445,0.6730744700562981,-0.5394913259907363,0.7590828134803318,0,1
RNAS4,-0.4956128297900094,1.0435727051216692,-0.6218042539269898,0.8788376424508115,0,1
GLYLB,0.608903218611537,0.6450873011247082,0.21317678161060966,0.7329920415292785,0,0
KV106,-0.5799135146444213,0.7054779418168455,-0.3711215452582678,1.130189267704566,1,1
COL12,-0.3326765512542705,0.24652837239126682,-0.4181402498626689,0.23630874507779093,0,0
IGLC2,0.5169702065479577,1.5086424786816217,1.0972530486553156,2.001903904809012,1,1
SODC,-0.2913693413812834,0.6011256454395058,-0.6219644788551115,0.5307578315187871,0,0
A1BG,-0.28262666433212813,0.6013169407563609,-0.6808699524355635,0.7362342141683187,0,0
NID2,1.0556057131584258,1.5956141471980894,0.011162278746163611,0.9928936108650002,0,0
IGL1,-0.5359706526288035,0.5644090664134686,-0.18647807532871952,0.446504161149856,1,1
SCG3,-0.5179176519875314,0.6814025850469299,-0.30890388012725073,0.81573422347537,1,1
CO2,0.44884424472065654,0.989999451148641,0.658692100811761,1.3025673192814575,1,1
ALDOA,0.5962412471305831,2.398132280150611,1.5198369748546396,2.462685755946741,1,1
KLK6,-0.15336195810697292,0.7102135482213163,-0.9074190404375023,0.6573521303420693,0,0
KVD28,-0.5941845580542469,0.7973133265280298,-0.20789234834467038,0.7645741840767467,1,1
SE6L1,-0.5151914526194729,0.4229623553644332,-0.1964639594402376,0.6973283155399866,1,1
EPHA4,0.4460265767893879,1.0934067265487117,0.7069653592476549,1.370856668038622,1,1
AFAM,-0.4234919884218337,0.8991680623376367,-0.48399323947637574,0.7247352803132514,0,1
CHRD,-0.3908627741126395,0.6932240157638552,-0.3952486002008891,0.41316817912393755,0,1
C1QT3,-0.47275257299156465,0.6756295505008483,-0.3734360526301836,1.003221041419458,1,1
CBPB2,-0.31273787646977724,0.4941768814483834,-0.45998322114760753,0.45141774122847106,0,1
B2MG,0.2182368546738743,1.0895990025766362,1.3758153480232518,2.11605384730464,1,1
TSP1,-0.6395295867394507,0.7942746955517525,-0.13564324637682704,0.9917632944369332,1,1
