"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"IBP7",3.1843,3.0231,2.996,2.9856,2.9787,2.9766,2.9761,2.976
"APOH",3.0199,2.8963,2.856,2.8459,2.8393,2.837,2.8366,2.8365
"RNAS1",3.0199,2.8802,2.8563,2.8469,2.8406,2.8383,2.8378,2.8378
"HEMO",2.8849,2.7854,2.7468,2.7372,2.7311,2.7289,2.7285,2.7284
"CD048",2.6519,2.5141,2.4793,2.4708,2.4668,2.4659,2.4655,2.4655
"FINC",2.6135,2.478,2.4442,2.4387,2.4346,2.4327,2.4323,2.4323
"CIP4",2.5944,2.4599,2.4257,2.4171,2.4119,2.4109,2.4106,2.4105
"TTHY",2.5429,2.4214,2.3967,2.3887,2.3838,2.3819,2.3816,2.3815
"APOD",2.3722,2.2569,2.2281,2.2203,2.2168,2.215,2.2147,2.2146
"KNG1",2.351,2.2731,2.2606,2.2532,2.2484,2.2467,2.2463,2.2463
"C1S",2.3317,2.212,2.1948,2.1897,2.1875,2.1858,2.1856,2.1855
"FETUA",2.3274,2.2471,2.2196,2.2117,2.2067,2.2055,2.2055,2.2054
"PLTP",2.2821,2.1699,2.1467,2.1441,2.14,2.1389,2.1385,2.1385
"1433G",2.2647,2.1466,2.1207,2.1141,2.1098,2.108,2.1078,2.1078
"GGCT",2.2612,2.2015,2.1763,2.1686,2.1641,2.1632,2.1629,2.1629
"CO4A",2.2138,2.12,2.0913,2.0872,2.0829,2.0812,2.0809,2.0809
"FHR1",2.1875,2.128,2.1037,2.0963,2.0917,2.0904,2.0901,2.09
"GLYLB",2.1585,2.1561,2.1261,2.1193,2.1145,2.1141,2.1138,2.1138
"ALDOA",2.1486,2.0363,2.008,2.0017,1.9985,1.9971,1.9968,1.9967
"CO6A3",2.1411,2.0308,2.0226,2.0181,2.0135,2.0139,2.0136,2.0136
"CO3",2.1389,2.1788,2.154,2.1502,2.1459,2.1448,2.1444,2.1444
"RET4",2.0975,2.0096,1.9871,1.9807,1.9762,1.9747,1.9744,1.9744
"HV434",2.0789,2.0168,1.9947,1.9878,1.9833,1.9817,1.9815,1.9814
"CFAI",2.0187,1.9646,1.9431,1.9369,1.9324,1.9308,1.9305,1.9305
"IGLC2",1.9905,1.8878,1.8617,1.8551,1.8512,1.8499,1.8496,1.8496
"LYAM1",1.9616,1.9046,1.8791,1.8747,1.871,1.8697,1.8695,1.8694
"PPIB",1.9235,1.8241,1.8004,1.7983,1.7961,1.7965,1.7962,1.7962
"A1AT",1.9169,1.8744,1.8651,1.8623,1.8603,1.8588,1.8585,1.8584
"APOA1",1.9139,1.9093,1.8965,1.8897,1.8859,1.8843,1.8841,1.884
"PGRP2",1.9012,1.8611,1.8489,1.8424,1.8384,1.837,1.8368,1.8367
"KLK6",1.847,1.7598,1.7488,1.7462,1.744,1.7427,1.7425,1.7425
"GELS",1.8211,1.7273,1.7052,1.7081,1.7049,1.7035,1.7033,1.7033
"LV218",1.8206,1.734,1.7099,1.7039,1.7007,1.6994,1.6992,1.6992
"NBL1",1.7912,1.7416,1.7211,1.7179,1.7149,1.7142,1.714,1.714
"A2MG",1.7714,1.6973,1.6907,1.6921,1.6901,1.6892,1.6889,1.6889
"CFAB",1.7594,1.8378,1.8378,1.8318,1.8275,1.8261,1.8259,1.8258
"KV113",1.7576,1.6668,1.6438,1.6381,1.6349,1.634,1.6338,1.6338
"IL6RB",1.7559,1.6744,1.6514,1.6489,1.6484,1.6471,1.6469,1.6468
"B2MG",1.7538,1.6922,1.686,1.6832,1.6806,1.6792,1.6792,1.6792
"LG3BP",1.7479,1.6634,1.6404,1.6426,1.6388,1.6378,1.6375,1.6375
"CBG",1.7437,1.6568,1.6532,1.6473,1.6447,1.6436,1.6434,1.6433
"AACT",1.7387,1.7007,1.6783,1.6755,1.6716,1.6704,1.6704,1.6704
"LTBP4",1.7234,1.6354,1.6126,1.6106,1.6075,1.6062,1.6061,1.606
"ADIPO",1.69,1.6876,1.6652,1.6597,1.6574,1.658,1.6579,1.6579
"APOA4",1.6759,1.719,1.6952,1.6901,1.6891,1.6894,1.6892,1.6891
"TENX",1.6713,1.6442,1.6457,1.6406,1.6369,1.6382,1.638,1.638
"IGHG2",1.6353,1.6586,1.6358,1.6312,1.6283,1.6276,1.6274,1.6274
"CLUS",1.6244,1.5445,1.5357,1.5401,1.538,1.5368,1.5366,1.5366
"SODE",1.6235,1.5743,1.5761,1.5717,1.5689,1.5681,1.568,1.5679
"CH3L1",1.6154,1.534,1.5208,1.5187,1.5204,1.5191,1.5189,1.5189
"SODC",1.6087,1.5311,1.5164,1.5129,1.5102,1.509,1.5095,1.5094
"IGL1",1.603,1.5879,1.5658,1.5602,1.5568,1.5556,1.5553,1.5554
"CD59",1.5882,1.5519,1.5303,1.5253,1.5226,1.5218,1.5216,1.5216
"TETN",1.5614,1.5148,1.4937,1.4931,1.4904,1.4892,1.489,1.489
"DPP2",1.5416,1.5074,1.4888,1.4844,1.4811,1.4799,1.4797,1.4797
"VTDB",1.5213,1.5408,1.5412,1.5372,1.5342,1.5336,1.5333,1.5333
"RGMB",1.5213,1.4594,1.4425,1.4375,1.4345,1.4342,1.4341,1.434
"MMP2",1.5174,1.4663,1.4483,1.4509,1.4485,1.4474,1.4472,1.4472
"LRP1",1.5144,1.4395,1.4346,1.4322,1.4289,1.4292,1.4291,1.4291
"FBLN5",1.5133,1.4483,1.4284,1.4253,1.4255,1.4248,1.4246,1.4246
"TRFE",1.5007,1.5707,1.5637,1.5617,1.5581,1.5569,1.5567,1.5566
"COEA1",1.4979,1.4199,1.4036,1.4031,1.4006,1.4006,1.4003,1.4004
"NPC2",1.4949,1.5467,1.5301,1.5276,1.5241,1.5231,1.5229,1.5228
"ITIH2",1.4844,1.5265,1.5362,1.5313,1.5314,1.5301,1.5301,1.5301
"KV230",1.4728,1.3962,1.3769,1.3727,1.3696,1.3685,1.3684,1.3684
"GDIA",1.4442,1.3814,1.3622,1.3575,1.3544,1.3534,1.3533,1.3532
"NNRE",1.4433,1.4578,1.4407,1.4356,1.4326,1.4315,1.4316,1.4315
"CERU",1.4355,1.7279,1.705,1.7001,1.6963,1.6952,1.695,1.695
"CBLN3",1.417,1.404,1.3898,1.3888,1.3859,1.3847,1.3845,1.3845
"IC1",1.4114,1.4079,1.3888,1.3948,1.3949,1.3951,1.395,1.3949
"TPP1",1.4022,1.3777,1.359,1.3542,1.353,1.3532,1.353,1.353
"GSTP1",1.3936,1.3449,1.3345,1.33,1.3285,1.3278,1.3276,1.3276
"CO2",1.3918,1.3684,1.3927,1.3878,1.3857,1.3856,1.3857,1.3856
"THRB",1.386,1.4284,1.4125,1.4076,1.4043,1.4032,1.403,1.403
"NCHL1",1.3784,1.3781,1.3605,1.3706,1.3685,1.3674,1.3672,1.3672
"ANT3",1.3778,1.4855,1.4981,1.4935,1.4907,1.4896,1.4894,1.4894
"RNAS4",1.3718,1.3286,1.3187,1.3175,1.3147,1.3146,1.3145,1.3145
"TPIS",1.3713,1.3045,1.2902,1.2866,1.2842,1.2843,1.2841,1.2841
"EPHA4",1.3708,1.3071,1.3031,1.3095,1.3098,1.3088,1.3086,1.3086
"PCDC2",1.3703,1.3286,1.3101,1.3078,1.3051,1.3065,1.3064,1.3064
"HV372",1.3703,1.3951,1.3762,1.3714,1.3685,1.3674,1.3672,1.3672
"MEGF8",1.3681,1.3166,1.2986,1.2942,1.2912,1.2948,1.2948,1.2948
"KVD37",1.3609,1.3205,1.308,1.3039,1.3014,1.3003,1.3003,1.3002
"SPRL1",1.3591,1.2951,1.3305,1.3284,1.328,1.3281,1.3279,1.3279
"FBLN1",1.3568,1.2872,1.305,1.3095,1.3092,1.3082,1.3081,1.3081
"CBLN1",1.3501,1.2812,1.2833,1.2793,1.2764,1.2754,1.2757,1.2757
"VASN",1.3407,1.3359,1.3192,1.3145,1.3159,1.3167,1.3166,1.3166
"CNTN2",1.336,1.2773,1.2781,1.2755,1.2765,1.2762,1.276,1.276
"FBLN2",1.3339,1.3135,1.2953,1.2936,1.2943,1.2946,1.2944,1.2944
"A1BG",1.3324,1.4125,1.4247,1.425,1.422,1.4213,1.4211,1.4211
"APOE",1.3236,1.3541,1.3737,1.3726,1.3712,1.3705,1.3702,1.3702
"FGFR1",1.3202,1.3461,1.3274,1.3248,1.3254,1.3244,1.3244,1.3244
"A2GL",1.3147,1.2864,1.2847,1.283,1.2807,1.28,1.2798,1.2798
"SCG3",1.3112,1.2932,1.2856,1.282,1.2791,1.2781,1.278,1.2779
"LTBP2",1.3102,1.2737,1.2681,1.2661,1.2637,1.2631,1.2629,1.263
"IGHA1",1.2981,1.2987,1.2831,1.2786,1.2762,1.2773,1.2771,1.2771
"SE6L2",1.2975,1.2387,1.2247,1.223,1.2277,1.2268,1.2266,1.2266
"ACTG",1.2966,1.2289,1.2203,1.2166,1.2138,1.2128,1.2128,1.2129
"SFRP3",1.2963,1.2287,1.2192,1.2152,1.2175,1.2173,1.2173,1.2173
"ENPP2",1.2953,1.2621,1.2906,1.2903,1.2897,1.2894,1.2892,1.2892
"ALDOC",1.2853,1.2446,1.2308,1.2288,1.2336,1.2326,1.2325,1.2324
"NRX2A",1.284,1.2278,1.2155,1.2112,1.2093,1.2084,1.209,1.209
"AGRB1",1.2808,1.2176,1.2036,1.1996,1.1972,1.1963,1.1964,1.1964
"C1QB",1.2774,1.2445,1.2273,1.223,1.2238,1.2228,1.2226,1.2226
"COL12",1.2618,1.2165,1.1996,1.1955,1.1928,1.192,1.1918,1.1918
"MYDGF",1.2587,1.193,1.1905,1.1864,1.1842,1.1838,1.1837,1.1836
"GPX3",1.2539,1.1884,1.1752,1.1766,1.1775,1.177,1.1771,1.1771
"FMOD",1.2518,1.1963,1.1957,1.1929,1.1904,1.1894,1.1897,1.1897
"RARR2",1.2497,1.3283,1.3357,1.3329,1.3298,1.3292,1.3291,1.3291
"CADM3",1.2448,1.1912,1.2069,1.2036,1.211,1.2107,1.2105,1.2105
"FSTL4",1.2435,1.1786,1.1754,1.1719,1.1705,1.1703,1.1702,1.1702
"FAT2",1.2324,1.2474,1.2645,1.26,1.2594,1.2595,1.2594,1.2593
"NDRG2",1.2218,1.1914,1.1971,1.1974,1.1946,1.1948,1.1948,1.1948
