"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"IBP7",3.1849,3.0236,2.9966,2.9862,2.9794,2.9772,2.9767,2.9767
"APOH",3.0209,2.8971,2.8568,2.8468,2.8402,2.8379,2.8375,2.8374
"RNAS1",3.0206,2.881,2.857,2.8476,2.8413,2.839,2.8386,2.8385
"HEMO",2.8856,2.7859,2.7474,2.7378,2.7317,2.7295,2.7291,2.7291
"CD048",2.6525,2.5146,2.4799,2.4713,2.4673,2.4664,2.4661,2.466
"FINC",2.6141,2.4785,2.4447,2.4391,2.4352,2.4332,2.4328,2.4328
"CIP4",2.595,2.4603,2.4262,2.4176,2.4125,2.4114,2.4111,2.411
"TTHY",2.5448,2.4231,2.3983,2.3903,2.3855,2.3835,2.3832,2.3832
"APOD",2.3731,2.2577,2.2289,2.221,2.2176,2.2158,2.2155,2.2154
"KNG1",2.352,2.274,2.2616,2.2542,2.2494,2.2477,2.2473,2.2473
"C1S",2.332,2.2123,2.195,2.1899,2.1878,2.1861,2.1858,2.1858
"FETUA",2.3279,2.2476,2.2202,2.2123,2.2073,2.2061,2.2061,2.206
"PLTP",2.2826,2.1703,2.147,2.1444,2.1403,2.1392,2.1389,2.1388
"1433G",2.2654,2.1472,2.1214,2.1147,2.1104,2.1087,2.1085,2.1085
"GGCT",2.2618,2.202,2.1768,2.1691,2.1647,2.1637,2.1635,2.1634
"CO4A",2.2144,2.1205,2.0918,2.0877,2.0834,2.0817,2.0814,2.0814
"FHR1",2.1875,2.1279,2.1036,2.0962,2.0916,2.0902,2.0899,2.0899
"GLYLB",2.1585,2.1559,2.126,2.1192,2.1144,2.114,2.1137,2.1136
"ALDOA",2.1494,2.0371,2.0088,2.0024,1.9992,1.9979,1.9976,1.9975
"CO6A3",2.1416,2.0313,2.0232,2.0187,2.0141,2.0145,2.0142,2.0141
"CO3",2.1394,2.1788,2.1543,2.1503,2.1462,2.145,2.1447,2.1446
"RET4",2.0981,2.01,1.9876,1.9812,1.9767,1.9752,1.9749,1.9749
"HV434",2.0793,2.0173,1.9952,1.9883,1.9837,1.9821,1.9819,1.9819
"CFAI",2.0201,1.9658,1.9444,1.9381,1.9337,1.9321,1.9318,1.9318
"IGLC2",1.991,1.8882,1.8621,1.8555,1.8516,1.8504,1.8501,1.8501
"LYAM1",1.9621,1.9049,1.8794,1.8751,1.8713,1.87,1.8698,1.8698
"PPIB",1.9245,1.825,1.8013,1.7993,1.797,1.7974,1.7971,1.7971
"APOA1",1.9146,1.9097,1.8971,1.8903,1.8864,1.8849,1.8846,1.8846
"A1AT",1.9134,1.8713,1.8622,1.8594,1.8574,1.8559,1.8556,1.8555
