,Mean_Cluster_0,Std_Cluster_0,Mean_Cluster_1,Std_Cluster_1,Cluster with higher protein levels,NMF protein cluster
IBP7,-1.6460649593925671,1.0079522043672984,-2.4208587996901727,0.5403934620324617,0,0
APOH,-1.5581585792906811,0.479799268767336,-1.5306099324879776,0.13034717901856394,1,1
RNAS1,-1.3199118654837512,0.7666738013895962,-2.293621795838332,0.6177104828762615,0,0
HEMO,-1.558924404182618,0.4757304056602292,-1.3589624900529023,0.47429382103207757,1,1
CD048,-1.337741970541659,0.9556075918319814,-1.711401672268397,1.0587854115514683,0,0
FINC,3.336534641341213,1.7204099884762782,0.8132772431367098,1.2128458939589277,0,0
CIP4,1.5738916401876564,1.5293828610425797,2.2832687510384937,1.8508182199768621,1,1
TTHY,-0.9974912075950524,0.4717519587140579,-1.3852575038676962,0.28042724106422334,0,0
APOD,-1.1212471566846085,0.5338474862473174,-1.0504803153763975,0.48117508515516283,1,1
KNG1,-1.609646577387041,0.4560908195943307,-0.6655514146885478,0.6954386956492963,1,1
C1S,3.0351743882984805,1.4548893713064834,0.34091882580073546,1.0682004323866137,0,0
FETUA,-1.3482314667578683,0.5851974163167634,-0.8277499721594727,0.5832174977905633,1,1
PLTP,2.336958522325899,1.4082488396309802,0.7302446709412268,1.5322058369425597,0,0
1433G,3.9306898520545057,5.170113867031807,2.75082213178816,3.3742849735896523,0,0
GGCT,2.4589056753286394,3.4686893481789824,2.4716966850950355,2.738206469689333,1,1
CO4A,1.751096140256575,1.585281733036171,1.0470782514842438,1.3534234334236381,0,0
FHR1,-0.9396464015567508,0.49773099997023035,-0.9835328304108405,0.4096519166751606,0,1
GLYLB,1.3585139478765893,1.6500630558260412,1.203032082710884,0.9333947456737952,0,1
ALDOA,2.8599762738753474,2.910126296663182,0.9616647362265325,1.5790998068053768,0,0
CO6A3,1.1951929747189867,1.2638530692316885,1.0503988110250575,0.707644772388855,0,0
CO3,1.2955740918965162,1.0746888167515527,1.0896484386617817,1.326157801176022,0,1
RET4,-1.1215480974283352,0.6540887390059489,-0.7597462146602296,0.4982868394090918,1,1
HV434,-0.8423032629537155,0.5429395511400311,-0.9444307758572762,0.197230180761433,0,1
CFAI,-0.9996558541832087,0.22462645128432177,-0.7366392934704773,0.6425700186364296,1,1
IGLC2,1.7064476655064393,2.3421504537709796,1.5201161822843972,2.22305842262209,0,0
LYAM1,0.8209405096000215,1.0343862227454466,1.2657834299506308,1.1374869272178043,1,1
PPIB,1.4415280859279795,2.102679412374857,1.3600638582488918,1.8647890035582158,0,1
A1AT,-1.2014388625951165,0.3981895029951119,-0.5028332631935428,0.7606489613923988,1,1
APOA1,-1.3441873937714226,0.2828475162069044,-0.35104719059657286,0.6261732234576997,1,1
PGRP2,0.5508661072984863,1.0233646867263118,1.4064040740198196,0.7681822758380547,1,1
KLK6,-0.4950351730808462,0.5961195020989996,-1.1439688828311996,0.37277750451891456,0,0
GELS,1.7500747744323524,1.4658498485020326,0.3433412245971945,0.9769459578204052,0,0
LV218,0.7989757708824138,1.8897856729636608,1.886014788437384,1.968948395614404,1,1
NBL1,-0.661000473927068,1.115644958187796,-1.1904641407257903,0.9528396810076394,0,0
A2MG,2.489997585428095,1.5134820329130878,-0.15501763380209696,1.0179723940677377,0,0
CFAB,0.4858074413183258,1.1947866645548242,1.8342369271032668,1.8505246001357036,1,1
KV113,-1.1122182727111198,0.8113218443964912,-0.649616487478804,1.2406813154802316,1,1
IL6RB,1.3417791135430486,1.9094313203610391,0.8472567636421335,1.2251479952303255,0,0
B2MG,1.050252499176996,1.783866052727022,1.8323146968019144,2.820249462642573,1,1
LG3BP,1.7412635481256604,1.3834841520660173,0.3459121360549599,1.4156955679166012,0,0
CBG,0.5070294627098315,1.4009485960825618,1.6370540265866558,1.3972388515782193,1,1
AACT,0.8914097766295285,0.841803917415919,0.6672982984709342,0.5971125704237189,0,1
LTBP4,1.3387928000862381,1.33532730800878,0.4599614069662733,0.8272615629495191,0,0
ADIPO,0.22452981433349403,1.1975420026278025,2.920211477903986,3.1039775444978206,1,1
APOA4,-1.082102757343448,1.024226106179892,-0.5016852848222675,0.7226714275571763,1,1
TENX,0.8392872005320506,0.6476869747568675,0.7788951019254546,1.3201149829697216,0,1
IGHG2,1.0431974260489694,1.1356895852281876,0.7287814870148623,1.4349608672697405,0,0
CLUS,-0.46410371826792285,0.7897141223087843,-1.0204793231737805,0.6531231854472167,0,0
SODE,-0.5153287650617114,0.921352509511381,-0.9533536584646661,0.4478691410746002,0,0
CH3L1,1.7900753978527364,1.0478064531019167,-0.09569774016791607,0.6429776627867709,0,0
SODC,-0.7598471249522745,0.42037269552361667,-0.5543035838744371,0.5007791967165903,1,1
IGL1,-0.8377083274725621,0.4788858242531648,-0.45848020288638874,0.32343294054612026,1,1
CD59,-0.6215397955133194,0.5380922106546161,-0.7234816358774917,0.6095963325591143,0,0
TETN,-0.4481045624503375,1.1027185545852136,-1.0912574242342388,0.7101904106369327,0,0
DPP2,-0.8672660927564392,0.3814649355001587,-0.5175068917324199,1.0893412845194088,1,1
VTDB,-1.0019162659400556,0.28389214271458796,-0.2686894147377407,0.6931426217049736,1,1
RGMB,-0.581871562484407,1.0346662177514752,-0.829191467313242,0.6127789911089844,0,0
MMP2,1.4600959078669804,1.2811701585342408,0.1676361703693587,1.079320671562337,0,0
LRP1,-0.596110155978519,0.8020046374675629,-0.6956305171001763,0.3155815954470443,0,0
FBLN5,1.0560798127201472,1.8163502526601447,0.93139837926522,1.8439229000876982,0,0
TRFE,-0.344410007700013,1.0007456164077566,-1.0708637010613113,0.5375193940754605,0,0
COEA1,-0.5508905819841465,0.32692347257535753,-0.6304905213984984,0.27613368261826554,0,1
NPC2,-0.7043868058925974,1.1317837694544608,-0.7773646217751694,0.9900997634616773,0,0
ITIH2,0.5650330166446395,0.8340679739057676,0.8483721951073696,1.0312112646235598,1,1
KV230,-0.8365194587097928,0.5427799409619143,-0.3956351218729582,0.6279705290678836,1,1
GDIA,1.323645141176612,1.469083592758365,0.46702844159289697,1.8763789135878686,0,0
NNRE,0.3612830969012446,0.774185420953898,1.2910284314617066,1.7225910718173594,1,1
CERU,0.2314871867389887,0.48406476959629874,1.2557800192845152,1.3421711143889425,1,1
CBLN3,-0.33703579458565763,0.8371364440764147,-0.9557437836083585,0.6063739751595363,0,0
IC1,1.1600968465139638,1.2139958323135165,0.21330841092607947,0.7129394520929782,0,0
TPP1,-0.7943704670906184,1.6325401994329503,-0.8375203479116897,1.368194052419015,0,0
GSTP1,-0.5072648056125731,0.36631499465916295,-0.5954547258284382,0.3598516031281877,0,0
CO2,0.39680670806467866,1.2566247140703166,1.19645959394234,1.45714580917734,1,1
THRB,-0.5587879433167114,0.5258490953787777,-0.5892788689230757,0.6120654135297388,0,1
NCHL1,1.9679915658564642,1.660320421556883,-0.32702982385055585,0.5574561755748219,0,0
ANT3,-0.895855447496687,0.34685195014764986,-0.23581223605121615,0.6894337279892538,1,1
RNAS4,-0.8166899835638491,1.1499986904359292,-0.4663219223206566,0.6782127464508401,1,1
TPIS,-0.5754086383905063,0.37887377344275447,-0.49153619545094374,0.24852132922441675,1,1
EPHA4,1.5983185481739681,0.8948424497252367,-0.20725859879194086,0.9185369454463108,0,0
PCDC2,1.7489894923444618,2.819329240762111,0.2697561239868008,0.9339189811055293,0,0
HV372,-0.5212274324849363,0.8890293534134598,-0.6682186730788359,0.43347667440348375,0,0
MEGF8,1.1089515498424307,1.4884934077154752,0.5929504745978295,1.983974109540356,0,0
KVD37,-0.7262435413157627,0.4651664605366001,-0.3437838460072494,0.2957598045075852,1,1
SPRL1,1.1992473840011841,0.8290263248049411,0.11805753739806746,1.136088897417121,0,0
FBLN1,0.06563455341809386,1.0293017657522892,-1.5637770691483697,0.8043612397466935,0,0
CBLN1,-0.4191280113286779,0.6498683536102332,-0.7250169561696823,0.5452320819790261,0,0
VASN,1.1066941160524995,1.1095335635146044,1.0641000686096105,3.404509753981144,0,0
CNTN2,2.1032242791570335,1.541630388111388,-0.4814248385844534,0.7431585711304337,0,0
FBLN2,-0.756004474816775,0.7026307118463915,-0.35180519766598756,0.5130148270276699,1,1
A1BG,-0.9900309342102392,0.4320790606842218,-0.15149383843015513,0.845514081591731,1,1
APOE,-0.18553986664563268,0.6416052060850898,-0.962129201100026,0.30610243706389595,0,0
FGFR1,-0.634322926313355,1.0471460195242588,-0.6118739671611167,0.902701819337909,1,1
A2GL,-0.8112462887985683,0.7709593481770881,-0.2908387715422815,0.44902452458736575,1,1
SCG3,-0.50139445665512,0.9955357478840743,-0.6674420645215492,0.5338220056759364,0,1
LTBP2,-0.5824985161959682,0.288497329994999,-0.44224546913802615,0.4639801327999671,1,1
IGHA1,-0.7413569791250123,0.5499291025535741,-0.3572525508795851,0.8067261879141624,1,1
SE6L2,0.811835970694004,0.8232299833000944,0.4045176261736709,1.1324855557482514,0,0
ACTG,-0.3674024107528207,0.3258541512529375,-0.6462517804126717,0.14162393395335218,0,0
SFRP3,0.7838926978133011,1.534596322688905,0.8307460204831023,1.897278311430296,1,1
ENPP2,1.8065372306934384,1.209120136823335,-0.36399129541845093,1.0006917036146745,0,0
ALDOC,1.2102589297076911,1.8853067706420692,0.35616768482946265,1.3960485823390105,0,0
NRX2A,1.491540074802753,3.395991243016853,1.269768199660927,3.6400354472072496,0,0
AGRB1,-0.5838409951089932,0.46430348104218366,-0.45270211948629535,0.5768166781800543,1,1
C1QB,-0.7648000862349358,0.9664178363419704,-0.4620450204461141,1.1429257550657557,1,1
COL12,-0.4802228255556804,0.20361156896163657,-0.4807807342778016,0.2233821524144039,0,0
MYDGF,-0.3105608143621212,0.6524931143554777,-0.7832353078398793,0.6550663020748884,0,0
GPX3,-0.6645338847091383,1.2159740542527628,-0.6169470455629278,1.2086966239361563,1,1
FMOD,0.41283128653270196,1.6326550249740226,1.142241972379152,1.6128359234366894,1,1
RARR2,-0.36463229769866373,1.1272286719412743,-0.807003261365505,0.5569857744154074,0,0
CADM3,0.9680594033013401,0.9024488861245934,0.12141983626398999,0.558916636310516,0,0
FSTL4,0.9294769692022679,1.1419230619666618,0.5791273160458922,2.1163892162402935,0,0
FAT2,0.8296201472152225,1.33966454168983,0.3885654286822472,0.8685671625295126,0,0
NDRG2,-0.2645330315456696,0.5723841923032148,2.9908001626626244,4.304877919588738,1,1
AATM,-0.4670235343697418,0.3327038304333593,-0.47609851312488466,0.29499928371659423,0,0
EFNB3,-0.4755336877930487,0.6227078259122116,-0.5485726789399066,0.6801268274489889,0,1
CFAH,0.07844156535192164,0.9176916287733514,-1.2818812149508427,0.3643832043566564,0,0
CO6A1,-0.48437217854384085,0.8395513001987366,-0.6024683112689381,0.9564295393669079,0,0
CATB,-0.7425952592025536,0.5370674295446684,-0.30878194183591423,1.051761233854064,1,1
CATO,-0.554403872373403,0.6909068745699304,-0.4647111809298744,0.8170911128403328,1,1
NTRK2,-0.5693293843784,0.4916008478429486,-0.4040988999029826,0.7967859083793133,1,1
KVD28,-0.505364296056918,0.7164991912193915,-0.4776313133517377,0.6125432335833791,1,1
APOA2,1.054281639623477,1.5367596184549601,0.14846475729218517,0.7437972387626439,0,0
A1AG2,-0.5017004697176012,1.0614334744542055,-0.5676167826970172,0.7364934066522759,0,0
PRDX2,-0.7758720343210247,0.20498552635064554,-0.21633127174681352,1.0335736698127402,1,1
ALBU,-0.952411663595166,0.8458031768509027,-0.1493177027555773,1.1740711880137995,1,1
SEM3G,-0.5381143878843367,0.3847641459140557,-0.361106374059583,0.4206306282518459,1,1
CHAD,-0.5532730418955626,0.5730132667772402,-0.3732812494096072,0.4803409199093523,1,1
PGCB,0.20760945803163655,1.2909915433656702,-1.5324733914019306,0.6103650211126804,0,0
C1QT1,0.013854462771979936,1.2484406703984943,1.6744196032450034,2.393811320818514,1,1
PIMT,0.22931303286041893,2.1021549733587808,1.4199331052433128,1.7609779154373468,1,1
LAMC1,0.43713420786078006,1.5242540039926287,0.8748756062960663,1.3620613902813976,1,1
NCAN,2.0669841988820856,1.9009972875207466,-0.6177614171769755,0.6784022290154645,0,0
CO4B,0.41750753278803154,1.0455392670358195,0.7000549090589963,1.1060655988359274,1,1
CO7,0.8978852437573948,1.042109370193567,0.26078353110582203,1.4051646285077428,0,0
KV127,-0.47849218557887246,0.5767886518200843,-0.43403158571343226,0.5615557681752018,1,1
VTNC,-0.6879779032233814,0.4214837383058224,-0.22929659618672663,0.794469323403077,1,1
CA2D1,0.7421938427069622,0.9773520335926917,0.4051710608428161,1.5244968798906549,0,0
LV151,-0.21129381990998305,0.5880350855389186,-0.7056553863874607,0.3450374216247457,0,0
ROBO1,-0.2160228504065929,0.5139731658595237,-0.6870461000458529,0.34455298367608483,0,0
G3P,0.4888647291011326,1.717645867407364,1.3114882302040518,3.060503245158939,1,1
CADH6,0.46681514068088553,0.8371499571823353,0.658449395884274,1.5047770711739623,1,1
APOL1,-0.9060897388765706,0.5745967966811368,-0.028784434614362017,0.8405770245009061,1,1
DSG2,1.2765793788983617,2.2248312644854953,0.04197145319324809,0.5400826132146647,0,0
TIMP2,-0.27279286233420935,0.42483661371412024,-0.6189059258236447,0.5386274213188955,0,0
CAD13,0.754332640409229,2.9326151298790624,5.829801284409354,13.922056590737435,1,1
PON1,-0.6594260541518787,1.1355580218180323,-0.33025705517069726,0.7163857633581676,1,1
FGFR2,0.4752883061878019,1.5939093848757329,0.9261486032558021,2.0723301387417252,1,1
