,Comp. 1,Comp. 2,Comp. 3,Comp. 4,Comp. 5,Comp. 6,Comp. 7,Comp. 8
NRP2,3.0585,2.5669,2.4742,2.4227,2.4078,2.4041,2.4034,2.4031
APOA1,3.0156,2.4092,2.3214,2.2755,2.2627,2.2596,2.2589,2.2586
FETUA,2.893,2.3225,2.2403,2.1891,2.1748,2.1717,2.171,2.1707
A1AG1,2.8889,2.3633,2.2748,2.2285,2.215,2.2116,2.2105,2.2103
NBL1,2.8173,2.349,2.2909,2.2497,2.2358,2.2324,2.2315,2.2312
COMP,2.7918,2.3604,2.2723,2.2206,2.2063,2.2037,2.2028,2.2026
ITIH4,2.7841,2.2266,2.1461,2.1019,2.0882,2.085,2.0839,2.0837
A2GL,2.6234,2.0929,2.0269,1.9837,1.9709,1.9679,1.967,1.9667
APOA4,2.5161,2.0089,1.9337,1.9037,1.8913,1.8892,1.8883,1.888
TTHY,2.4516,2.1829,2.1412,2.1015,2.0929,2.0924,2.0915,2.0912
HRG,2.3646,1.9098,1.8481,1.8386,1.8273,1.8247,1.8239,1.8237
C1QC,2.3632,2.3099,2.2478,2.2009,2.1893,2.1862,2.1851,2.1849
ANT3,2.3443,1.9669,1.9114,1.8775,1.8653,1.8624,1.8615,1.8612
APOL1,2.2779,1.8172,1.7602,1.72,1.7105,1.7091,1.7084,1.7081
ZA2G,2.1985,1.7703,1.7294,1.6925,1.6817,1.6792,1.6785,1.6783
NEO1,2.1644,1.7328,1.6727,1.6609,1.651,1.6487,1.648,1.6478
PLXB2,2.1546,1.719,1.6681,1.6472,1.6412,1.6393,1.6385,1.6384
SLIK4,2.1456,1.7131,1.6511,1.6161,1.6115,1.609,1.6082,1.6081
CERU,2.1176,1.6895,1.6263,1.5978,1.5877,1.5853,1.5846,1.5844
IBP7,2.0882,1.7615,1.7126,1.6855,1.6747,1.6759,1.6754,1.6753
GRIA4,2.0562,1.7833,1.7293,1.7009,1.6931,1.6907,1.6913,1.691
FHR1,2.0466,1.6544,1.5994,1.5633,1.5576,1.5554,1.5547,1.5545
SORL,2.0446,1.6401,1.5796,1.5455,1.539,1.5374,1.5368,1.5367
PGS2,1.9682,1.9017,1.8372,1.809,1.8142,1.8117,1.8108,1.8107
NID1,1.951,1.5584,1.5003,1.4684,1.4588,1.4587,1.4582,1.4581
SPRL1,1.9456,1.5737,1.5412,1.5458,1.5383,1.536,1.5352,1.535
A1AG2,1.9288,1.6278,1.624,1.5891,1.5794,1.5798,1.58,1.5799
CSPG2,1.9199,1.7377,1.6759,1.6386,1.6353,1.6328,1.6321,1.632
ICOSL,1.903,1.521,1.4945,1.4853,1.4797,1.4774,1.4771,1.4769
C1QT1,1.8628,1.5946,1.537,1.502,1.4924,1.4908,1.4904,1.4903
IBP6,1.856,1.5493,1.4919,1.4586,1.4572,1.455,1.4544,1.4545
ALS,1.8533,1.6521,1.6531,1.6287,1.62,1.6181,1.6173,1.6171
CBPB2,1.7908,1.6296,1.59,1.5562,1.5461,1.5439,1.5441,1.5439
FBLN2,1.7863,1.7655,1.7009,1.7063,1.6996,1.6973,1.6965,1.6963
AMBP,1.7732,1.584,1.5359,1.5063,1.4967,1.4952,1.4945,1.4943
VGF,1.7633,1.4074,1.3547,1.3257,1.3195,1.3177,1.3186,1.3187
CBLN1,1.7618,1.4858,1.4385,1.4114,1.4027,1.4012,1.4008,1.4006
FUCO,1.747,1.3945,1.3461,1.3164,1.3113,1.3099,1.3098,1.3096
PON1,1.7313,1.4161,1.368,1.3385,1.3357,1.3337,1.3332,1.333
LFNG,1.729,1.68,1.6325,1.5981,1.588,1.5873,1.5867,1.5867
PRELP,1.7248,1.5949,1.5586,1.5272,1.518,1.5181,1.5174,1.5172
CO6,1.71,1.3655,1.3143,1.286,1.2778,1.276,1.2754,1.2753
SE6L1,1.6916,1.4454,1.4013,1.4026,1.3955,1.3934,1.3928,1.3926
KCC2A,1.6691,1.4655,1.4296,1.3971,1.3879,1.3949,1.3944,1.3943
ACYP2,1.6676,1.3845,1.3513,1.3293,1.3274,1.3253,1.3249,1.3248
CADH2,1.6589,1.3321,1.2822,1.2529,1.2447,1.2431,1.2426,1.2426
CA2D1,1.637,1.3569,1.3085,1.2814,1.2813,1.2793,1.279,1.2789
OMD,1.632,1.311,1.27,1.2444,1.2446,1.2431,1.2428,1.2426
KV106,1.6226,1.353,1.304,1.2958,1.2908,1.2909,1.2905,1.2904
NPTXR,1.6152,1.2904,1.2665,1.3024,1.2965,1.2964,1.2962,1.296
GLU2B,1.5772,1.2643,1.2194,1.1959,1.1904,1.1887,1.1881,1.188
SCG1,1.5759,1.2859,1.2445,1.2284,1.2214,1.2202,1.2196,1.2194
CO9,1.5717,1.3903,1.3828,1.3521,1.3486,1.3475,1.3468,1.3467
NEUS,1.569,1.3366,1.3649,1.335,1.3316,1.331,1.3304,1.3303
LTBP1,1.5658,1.2613,1.2147,1.1878,1.1805,1.1788,1.1782,1.1782
LAMP2,1.5553,1.2704,1.3108,1.2928,1.2844,1.2828,1.2832,1.283
MDHC,1.5526,1.3259,1.2791,1.3065,1.3036,1.3029,1.3023,1.3022
ITIH1,1.5437,1.4085,1.3793,1.3477,1.3396,1.3421,1.3416,1.3415
PPIC,1.5311,1.2441,1.2054,1.1779,1.1768,1.1756,1.1752,1.1751
PEBP1,1.5307,1.5302,1.4753,1.444,1.4374,1.4353,1.435,1.4349
DCC,1.5285,1.4194,1.4041,1.4071,1.4003,1.3997,1.3991,1.3989
PCDC2,1.5262,1.218,1.1785,1.1764,1.1695,1.1712,1.1707,1.1706
ENDD1,1.5239,1.217,1.2677,1.25,1.2472,1.2461,1.2455,1.2453
EFNB3,1.5161,1.504,1.589,1.5542,1.5526,1.5503,1.5516,1.5514
ACTS,1.5077,1.2054,1.1602,1.1505,1.1437,1.1424,1.1424,1.1423
CBLN4,1.5068,1.2365,1.2935,1.264,1.2824,1.2805,1.2808,1.2808
FSTL5,1.5062,1.2046,1.1621,1.1637,1.1603,1.1588,1.1591,1.159
CNTN2,1.4939,1.2022,1.2071,1.1861,1.1795,1.1777,1.1776,1.1774
PEBP4,1.4865,1.2133,1.1679,1.1436,1.1364,1.1353,1.1347,1.1348
DSG2,1.4731,1.2087,1.1701,1.1436,1.1362,1.1346,1.1343,1.1349
CFAI,1.4656,1.1692,1.1254,1.1044,1.0972,1.1011,1.1006,1.1006
NRX1A,1.4616,1.2436,1.217,1.1891,1.1849,1.1834,1.1829,1.1828
SODE,1.4462,1.1544,1.1162,1.0909,1.095,1.0967,1.0976,1.0977
C1RL,1.4362,1.1975,1.1744,1.2557,1.2537,1.252,1.2516,1.2515
CBG,1.4074,1.2189,1.1733,1.1567,1.1492,1.1495,1.1496,1.1495
PRG4,1.4066,1.1235,1.0817,1.0591,1.0565,1.0586,1.0614,1.0613
PHLD,1.4055,1.1649,1.1281,1.1412,1.1394,1.1377,1.1374,1.1373
FHR2,1.4029,1.1233,1.1941,1.2513,1.2484,1.2466,1.247,1.2468
THBG,1.3933,1.4875,1.4894,1.4554,1.4467,1.4445,1.4439,1.4438
CH3L1,1.38,1.5902,1.5719,1.5395,1.5326,1.5324,1.5319,1.5317
HEMO,1.3694,1.242,1.1973,1.1974,1.1922,1.1927,1.1924,1.1923
CO6A2,1.3657,1.0903,1.0571,1.0531,1.0678,1.0665,1.0663,1.0662
KV37,1.361,1.1839,1.1396,1.1141,1.1071,1.1056,1.105,1.1049
DHPR,1.3528,1.1198,1.0789,1.0676,1.0608,1.0593,1.0587,1.0586
MA1C1,1.3465,1.1391,1.0966,1.1119,1.1088,1.1112,1.1108,1.1107
A1BG,1.344,1.5208,1.5026,1.4694,1.4609,1.4588,1.4583,1.4582
CHRD,1.3405,1.1356,1.0974,1.0726,1.0656,1.0667,1.0677,1.0676
