"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"NRP2",3.0581,2.567,2.4743,2.4228,2.4079,2.4042,2.4035,2.4032
"APOA1",3.0174,2.4114,2.3234,2.2773,2.2643,2.2612,2.2605,2.2602
"FETUA",2.894,2.3237,2.2416,2.1903,2.176,2.1729,2.1722,2.1719
"A1AG1",2.8886,2.3633,2.2748,2.2285,2.2149,2.2116,2.2105,2.2102
"NBL1",2.8181,2.3498,2.2916,2.2505,2.2366,2.2332,2.2323,2.232
"COMP",2.7967,2.3655,2.2772,2.2254,2.211,2.2084,2.2075,2.2073
"ITIH4",2.7838,2.2269,2.1464,2.1022,2.0884,2.0853,2.0842,2.084
"A2GL",2.6235,2.0934,2.0274,1.9841,1.9713,1.9683,1.9674,1.9671
"APOA4",2.5164,2.0095,1.9343,1.9039,1.8915,1.8894,1.8884,1.8882
"TTHY",2.4517,2.1838,2.142,2.1023,2.0937,2.0932,2.0922,2.092
"HRG",2.3643,1.9099,1.8483,1.8388,1.8275,1.8248,1.824,1.8238
"C1QC",2.3616,2.3069,2.2452,2.1984,2.1867,2.1836,2.1825,2.1822
"ANT3",2.3455,1.9679,1.9129,1.8787,1.8664,1.8636,1.8626,1.8624
"APOL1",2.2775,1.8173,1.7604,1.7201,1.7106,1.7092,1.7085,1.7083
"ZA2G",2.1981,1.7706,1.7296,1.6926,1.6818,1.6793,1.6786,1.6784
"NEO1",2.1644,1.7331,1.6731,1.6609,1.6509,1.6486,1.6479,1.6477
"PLXB2",2.155,1.7197,1.6688,1.648,1.6419,1.64,1.6393,1.6392
"SLIK4",2.1453,1.7132,1.6513,1.6163,1.6117,1.6092,1.6084,1.6082
"CERU",2.1214,1.6928,1.6295,1.6007,1.5905,1.5881,1.5874,1.5872
"IBP7",2.088,1.7617,1.7126,1.6856,1.6748,1.676,1.6755,1.6754
"GRIA4",2.056,1.7835,1.7297,1.7011,1.6934,1.691,1.6915,1.6913
"FHR1",2.0463,1.6544,1.5993,1.5632,1.5575,1.5553,1.5546,1.5544
"SORL",2.0444,1.6403,1.5798,1.5456,1.5392,1.5375,1.537,1.5368
"PGS2",1.9678,1.9017,1.8373,1.809,1.8142,1.8116,1.8107,1.8106
"NID1",1.9509,1.5587,1.5007,1.4689,1.4592,1.4592,1.4587,1.4586
"SPRL1",1.9454,1.5741,1.5415,1.5461,1.5387,1.5363,1.5356,1.5354
"A1AG2",1.9291,1.6277,1.6248,1.5897,1.5801,1.5804,1.5806,1.5804
"CSPG2",1.9196,1.738,1.6762,1.6388,1.6355,1.633,1.6324,1.6322
"ICOSL",1.906,1.5238,1.4972,1.4883,1.4826,1.4803,1.48,1.4798
"C1QT1",1.8625,1.5936,1.5362,1.5011,1.4916,1.49,1.4895,1.4894
"IBP6",1.86,1.5514,1.4939,1.4606,1.4592,1.457,1.4564,1.4565
"ALS",1.853,1.6528,1.6536,1.629,1.6203,1.6183,1.6175,1.6173
"CBPB2",1.7969,1.6316,1.5916,1.5577,1.5475,1.5453,1.5455,1.5453
"FBLN2",1.7862,1.7654,1.7007,1.7062,1.6995,1.6972,1.6964,1.6962
"AMBP",1.7728,1.5836,1.5357,1.5061,1.4964,1.4949,1.4942,1.494
"VGF",1.7629,1.4073,1.3546,1.3256,1.3194,1.3176,1.3185,1.3185
"CBLN1",1.7615,1.4859,1.4387,1.4116,1.4029,1.4013,1.4009,1.4007
"FUCO",1.7468,1.3946,1.3464,1.3167,1.3116,1.3101,1.31,1.3098
"PON1",1.7305,1.4152,1.3674,1.3379,1.335,1.333,1.3325,1.3323
"LFNG",1.7291,1.6772,1.6298,1.5954,1.5853,1.5846,1.5841,1.5841
"PRELP",1.7245,1.5937,1.5576,1.5263,1.517,1.5172,1.5165,1.5163
"CO6",1.709,1.3651,1.314,1.2857,1.2774,1.2756,1.2751,1.2749
"SE6L1",1.6912,1.4459,1.4017,1.4027,1.3956,1.3935,1.3929,1.3927
"KCC2A",1.6684,1.4661,1.4301,1.3975,1.3883,1.3953,1.3947,1.3946
"ACYP2",1.6674,1.3847,1.3512,1.3295,1.3276,1.3256,1.3251,1.325
"CADH2",1.6583,1.3318,1.2819,1.2526,1.2444,1.2428,1.2423,1.2423
"CA2D1",1.6366,1.3573,1.3089,1.2818,1.2819,1.2799,1.2796,1.2794
"OMD",1.6328,1.3118,1.2708,1.2451,1.2453,1.2438,1.2435,1.2434
"KV106",1.6222,1.3527,1.3038,1.2955,1.2906,1.2906,1.2903,1.2901
"NPTXR",1.6149,1.2904,1.2665,1.3025,1.2966,1.2965,1.2963,1.2961
"GLU2B",1.5768,1.2643,1.2194,1.1958,1.1903,1.1886,1.188,1.1879
"SCG1",1.5756,1.2855,1.2441,1.2281,1.221,1.2198,1.2192,1.219
"CO9",1.5713,1.3918,1.3839,1.3531,1.3496,1.3485,1.3478,1.3476
"NEUS",1.5686,1.3362,1.3644,1.3345,1.331,1.3304,1.3299,1.3297
"LTBP1",1.5649,1.2609,1.2142,1.1874,1.1801,1.1784,1.1778,1.1778
"LAMP2",1.555,1.2701,1.3105,1.2926,1.2842,1.2825,1.2829,1.2828
"MDHC",1.5497,1.3234,1.2766,1.3043,1.3016,1.3009,1.3004,1.3002
