,Mean_Cluster_0,Std_Cluster_0,Mean_Cluster_1,Std_Cluster_1,Cluster with higher protein levels,NMF protein cluster
NRP2,-1.2554135294225666,0.8594257655058045,-1.7163781089592873,0.3541138013064089,0,0
APOA1,-1.2728875960411572,0.6115932513870608,-1.2551769368589847,0.37215475312782087,1,1
FETUA,-1.5817642523953754,0.7246319538981628,-1.2518400680907769,0.7971863071222757,1,1
A1AG1,-1.3155130080863202,0.43330100081068196,-0.9602335121861938,0.4189811311177531,1,1
NBL1,-1.044007904917608,0.812822187121484,-1.7186233982714534,0.5926258491089911,0,0
COMP,-1.1863236397304158,0.4744128539234066,-1.0100757020987146,0.490676596697661,1,1
ITIH4,-1.2805250307792193,0.46804367901969324,-0.9090165523517989,0.4467399405478039,1,1
A2GL,-1.1590719302387107,0.523075844334872,-0.954067757841496,0.6059207269769908,1,1
APOA4,-0.907192367803908,0.563140908951912,-0.9855915727008567,0.4094966239590338,0,1
TTHY,-0.9090289754748018,0.7996849453612618,-1.5408770301925274,0.914518009167865,0,0
HRG,-1.3728717463686722,0.6017577172229782,-0.7788639013484613,0.8932075203021962,1,1
C1QC,2.136649974134566,1.528785239848354,1.070997017666548,1.1323083921454096,0,0
ANT3,-1.1879551159359072,0.5674846819150052,-0.6048373573416855,0.38960255380485476,1,1
APOL1,-0.8236757386772615,0.6113522773202497,-0.8688902671668242,0.4335153568794157,0,0
ZA2G,-0.7848082827718181,0.5974314131059154,-0.8597401592980521,0.5100852479295919,0,1
NEO1,-0.740887370155487,0.7708276163404226,-1.1431579070497688,0.7265140757088817,0,0
PLXB2,-0.7885575284887255,0.7363881425326948,-0.8688405347828269,0.4273429740786909,0,1
SLIK4,-0.7925392517778861,0.9041428571066903,-1.0013801719024873,0.4467874566876041,0,0
CERU,-1.5085757686064014,1.0791737476677379,-0.6417906662490211,0.7505723987246322,1,1
IBP7,-0.7176471318550292,0.7453526867241866,-1.0662237038229414,0.7415153162805667,0,0
GRIA4,-0.682102867675417,1.0077094758294927,-1.1972663097604541,0.5714413978291133,0,0
FHR1,-0.9474991151559606,0.6156516524748511,-0.6187734201890461,0.5916287775642871,1,1
SORL,-1.0421371543244928,0.9103649356606263,-0.7525781628704661,0.6871834333700061,1,1
PGS2,-0.6745234196798171,0.20749596045607416,-0.5827451059982542,0.4572050154044279,1,1
NID1,-0.8698597554137801,0.8570208935215008,-0.8020319865532862,0.7325965670981094,1,1
SPRL1,-0.6559727841344455,0.8027722629489467,-1.1923751287961493,0.9900675974416455,0,0
A1AG2,-0.7999473360258444,0.4128900257587515,-0.47645497464420977,0.3783170778824337,1,1
CSPG2,-0.4801329608805332,0.45932769692961567,-0.8559681140862098,0.44507160966161924,0,0
ICOSL,-0.4786440883439867,1.2278692669777098,-1.6797674446725623,0.813382751493351,0,0
C1QT1,-0.5786250725377851,0.7508960093788418,-1.0579258372420228,0.851565604087253,0,0
IBP6,-0.7447628108390011,0.7875272309666441,-0.709627332100662,0.5578947499885069,1,0
ALS,-0.8845507009420863,0.9006966595807555,-0.7502723359376905,0.8042735645269022,1,1
CBPB2,-0.7285186844687723,0.5674992286333397,-0.5925517027448367,0.6446852136703696,1,1
